"ANGER" "DISGUST" "FEAR" "JOY" "SADNESS" "SURPRISE" "Date" "Price" "TweetCnt"
"61" 1.46872 7.34084 7.34084 45.233 7.34084 2.78696 "20160809" 89667.3 81
"62" 1.46872 3.09234 2.06784 38.9176 1.72771 2.78696 "20160810" 89864 105
"63" 1.46872 3.09234 2.06784 13.6562 1.72771 7.34084 "20160811" 90497.1 113
"64" 1.46872 3.09234 2.06784 13.6562 7.34084 7.34084 "20160812" 90339.8 137
"65" 7.34084 3.09234 2.06784 7.34084 7.34084 2.78696 "20160813" 0 35
"66" 1.46872 3.09234 2.06784 13.6562 7.34084 2.78696 "20160814" 0 25
"67" 1.46872 3.09234 2.06784 7.34084 7.34084 7.34084 "20160815" 89572.4 102
"68" 1.46872 7.34084 2.06784 26.2869 1.72771 2.78696 "20160816" 89861.5 117
"69" 7.34084 7.34084 2.06784 26.2869 1.72771 2.78696 "20160817" 89917.1 141
"70" 7.34084 7.34084 2.06784 7.34084 1.72771 7.34084 "20160818" 90294.2 129
"71" 1.46872 7.34084 2.06784 26.2869 7.34084 2.78696 "20160819" 90366.9 168
"72" 1.46872 3.09234 2.06784 7.34084 1.72771 2.78696 "20160820" 0 40
"73" 1.46872 3.09234 2.06784 26.2869 7.34084 2.78696 "20160821" 0 22
"74" 7.34084 7.34084 2.06784 13.6562 7.34084 11.8947 "20160822" 89769 167
"75" 1.46872 7.34084 2.06784 13.6562 1.72771 7.34084 "20160823" 90038.4 122
"76" 7.34084 7.34084 2.06784 38.9176 7.34084 7.34084 "20160824" 89055.2 150
"77" 1.46872 7.34084 2.06784 32.6023 7.34084 2.78696 "20160825" 88592.5 148
"78" 1.46872 7.34084 2.06784 19.9716 1.72771 2.78696 "20160826" 88305.5 188
"79" 1.46872 3.09234 2.06784 7.34084 7.34084 2.78696 "20160827" 0 37
"80" 1.46872 3.09234 2.06784 13.6562 1.72771 2.78696 "20160828" 0 18
"81" 1.46872 7.34084 2.06784 19.9716 1.72771 2.78696 "20160829" 88608 113
"82" 7.34084 3.09234 2.06784 19.9716 7.34084 7.34084 "20160830" 88434.7 166
"83" 1.46872 7.34084 2.06784 13.6562 7.34084 7.34084 "20160831" 87663.5 203
"84" 1.46872 7.34084 2.06784 26.2869 12.954 7.34084 "20160901" 87756.4 150
"85" 1.46872 3.09234 2.06784 7.34084 1.72771 2.78696 "20160902" 88191.9 185
"86" 1.46872 3.09234 2.06784 19.9716 7.34084 2.78696 "20160903" 0 64
"87" 1.46872 3.09234 2.06784 13.6562 7.34084 2.78696 "20160904" 0 72
"88" 7.34084 7.34084 2.06784 7.34084 7.34084 2.78696 "20160905" 88185.7 99
"89" 1.46872 7.34084 2.06784 13.6562 7.34084 7.34084 "20160906" 88927.1 141
"90" 7.34084 3.09234 2.06784 26.2869 1.72771 2.78696 "20160907" 89432.5 122
"91" 1.46872 7.34084 2.06784 26.2869 7.34084 7.34084 "20160908" 89260.1 127
"92" 1.46872 7.34084 2.06784 32.6023 7.34084 7.34084 "20160909" 88993.9 147
"93" 1.46872 3.09234 2.06784 7.34084 1.72771 2.78696 "20160910" 0 36
"94" 1.46872 3.09234 2.06784 7.34084 1.72771 7.34084 "20160911" 0 112
"95" 1.46872 11.5893 2.06784 32.6023 1.72771 2.78696 "20160912" 88607 206
"96" 1.46872 7.34084 2.06784 26.2869 7.34084 7.34084 "20160913" 88664.4 198
"97" 1.46872 7.34084 2.06784 13.6562 7.34084 2.78696 "20160914" 88429.7 206
"98" 1.46872 7.34084 2.06784 32.6023 7.34084 2.78696 "20160915" 87701.7 223
"99" 1.46872 7.34084 2.06784 19.9716 7.34084 2.78696 "20160916" 87775.6 212
"100" 7.34084 3.09234 7.34084 26.2869 1.72771 7.34084 "20160917" 0 151
"101" 1.46872 3.09234 2.06784 7.34084 1.72771 2.78696 "20160918" 0 48
"102" 7.34084 11.5893 2.06784 19.9716 12.954 7.34084 "20160919" 88028.7 154
"103" 1.46872 7.34084 2.06784 19.9716 12.954 2.78696 "20160920" 88031 140
"104" 7.34084 7.34084 2.06784 32.6023 7.34084 7.34084 "20160921" 88827.2 219
"105" 7.34084 7.34084 7.34084 13.6562 7.34084 7.34084 "20160922" 89139.5 142
"106" 1.46872 7.34084 2.06784 7.34084 1.72771 7.34084 "20160923" 89217.5 171
"107" 1.46872 7.34084 2.06784 38.9176 1.72771 7.34084 "20160924" 0 90
"108" 1.46872 7.34084 2.06784 13.6562 7.34084 7.34084 "20160925" 0 50
"109" 1.46872 7.34084 2.06784 19.9716 7.34084 7.34084 "20160926" 89302.6 164
"110" 1.46872 7.34084 2.06784 32.6023 1.72771 7.34084 "20160927" 88260.5 170
"111" 7.34084 7.34084 12.6138 32.6023 1.72771 7.34084 "20160928" 87920.6 124
"112" 1.46872 7.34084 2.06784 19.9716 7.34084 11.8947 "20160929" 88152.4 173
"113" 1.46872 3.09234 2.06784 26.2869 7.34084 7.34084 "20160930" 88087.5 166
"114" 1.46872 3.09234 2.06784 19.9716 7.34084 7.34084 "20161001" 0 84
"115" 1.46872 3.09234 2.06784 19.9716 1.72771 7.34084 "20161002" 0 57
"116" 1.46872 3.09234 2.06784 26.2869 1.72771 7.34084 "20161003" 87422.2 127
"117" 7.34084 7.34084 7.34084 32.6023 7.34084 11.8947 "20161004" 85309.8 178
"118" 0 0 0 0 0 0 "20161005" 84461.6 0
"119" 0 0 0 0 0 0 "20161006" 83793.5 0
"120" 1.46872 3.09234 2.06784 7.34084 1.72771 7.34084 "20161007" 83780.5 6
"121" 1.46872 3.09234 7.34084 45.233 1.72771 7.34084 "20161008" 0 80
"122" 1.46872 3.09234 2.06784 26.2869 7.34084 2.78696 "20161009" 0 44
"123" 1.46872 3.09234 2.06784 19.9716 12.954 7.34084 "20161010" 83768.7 136
"124" 7.34084 3.09234 2.06784 51.5483 7.34084 7.34084 "20161011" 83679.4 158
"125" 1.46872 3.09234 2.06784 19.9716 12.954 7.34084 "20161012" 83915.4 157
"126" 1.46872 7.34084 2.06784 13.6562 1.72771 2.78696 "20161013" 84369.9 155
"127" 1.46872 3.09234 2.06784 32.6023 1.72771 2.78696 "20161014" 83463.6 158
"128" 1.46872 3.09234 2.06784 51.5483 7.34084 2.78696 "20161015" 0 77
"129" 1.46872 3.09234 7.34084 45.233 1.72771 7.34084 "20161016" 0 60
"130" 7.34084 7.34084 2.06784 26.2869 1.72771 7.34084 "20161017" 83835.3 145
"131" 7.34084 11.5893 12.6138 13.6562 12.954 7.34084 "20161018" 83935.8 160
"132" 7.34084 7.34084 2.06784 7.34084 12.954 7.34084 "20161019" 84591.7 170
"133" 1.46872 3.09234 7.34084 32.6023 1.72771 2.78696 "20161020" 84904.1 138
"134" 7.34084 3.09234 7.34084 13.6562 12.954 2.78696 "20161021" 84731 136
"135" 1.46872 3.09234 7.34084 13.6562 7.34084 2.78696 "20161022" 0 72
"136" 1.46872 3.09234 2.06784 19.9716 1.72771 2.78696 "20161023" 0 42
"137" 7.34084 7.34084 2.06784 26.2869 7.34084 2.78696 "20161024" 84610.2 263
"138" 7.34084 3.09234 7.34084 19.9716 7.34084 2.78696 "20161025" 84866.6 226
"139" 13.213 7.34084 2.06784 19.9716 1.72771 2.78696 "20161026" 84894.8 186
"140" 7.34084 3.09234 2.06784 26.2869 12.954 2.78696 "20161027" 84655.5 205
"141" 7.34084 3.09234 2.06784 51.5483 7.34084 7.34084 "20161028" 85034.5 232
"142" 7.34084 3.09234 2.06784 19.9716 7.34084 2.78696 "20161029" 0 90
"143" 7.34084 3.09234 2.06784 26.2869 1.72771 2.78696 "20161030" 0 40
"144" 7.34084 7.34084 7.34084 32.6023 12.954 7.34084 "20161031" 84937.8 184
"145" 1.46872 7.34084 2.06784 38.9176 1.72771 2.78696 "20161101" 85946.7 184
"146" 7.34084 7.34084 2.06784 32.6023 7.34084 7.34084 "20161102" 86914.5 238
"147" 7.34084 3.09234 7.34084 26.2869 12.954 7.34084 "20161103" 86768.2 291
"148" 7.34084 7.34084 2.06784 19.9716 7.34084 7.34084 "20161104" 86988 267
"149" 7.34084 3.09234 2.06784 19.9716 12.954 7.34084 "20161105" 0 101
"150" 1.46872 3.09234 2.06784 19.9716 12.954 7.34084 "20161106" 0 90
"151" 1.46872 11.5893 7.34084 51.5483 7.34084 11.8947 "20161107" 85640.4 281
"152" 7.34084 7.34084 7.34084 38.9176 12.954 16.4486 "20161108" 85334 292
"153" 7.34084 7.34084 2.06784 45.233 18.5671 11.8947 "20161109" 85217.1 660
"154" 13.213 3.09234 7.34084 13.6562 7.34084 7.34084 "20161110" 85017.6 404
"155" 1.46872 3.09234 2.06784 13.6562 7.34084 2.78696 "20161111" 83487.6 350
"156" 1.46872 3.09234 7.34084 13.6562 1.72771 2.78696 "20161112" 0 97
"157" 7.34084 3.09234 2.06784 26.2869 7.34084 7.34084 "20161113" 0 58
"158" 1.46872 3.09234 2.06784 38.9176 7.34084 2.78696 "20161114" 82262.7 324
"159" 1.46872 7.34084 2.06784 38.9176 12.954 7.34084 "20161115" 83187.2 293
"160" 1.46872 7.34084 7.34084 13.6562 7.34084 2.78696 "20161116" 83556.1 232
"161" 1.46872 7.34084 2.06784 7.34084 12.954 2.78696 "20161117" 83314.7 249
"162" 1.46872 3.09234 2.06784 19.9716 7.34084 7.34084 "20161118" 82384.3 274
"163" 1.46872 3.09234 2.06784 19.9716 7.34084 2.78696 "20161119" 0 87
"164" 1.46872 3.09234 2.06784 13.6562 1.72771 2.78696 "20161120" 0 60
"165" 1.46872 7.34084 7.34084 38.9176 7.34084 2.78696 "20161121" 82745.1 227
"166" 1.46872 7.34084 2.06784 26.2869 1.72771 7.34084 "20161122" 82948.2 229
"167" 1.46872 7.34084 7.34084 26.2869 12.954 7.34084 "20161123" 81563.9 229
"168" 1.46872 3.09234 2.06784 26.2869 7.34084 7.34084 "20161124" 81639.3 208
"169" 1.46872 3.09234 2.06784 38.9176 1.72771 7.34084 "20161125" 81339.6 236
"170" 1.46872 3.09234 2.06784 19.9716 12.954 2.78696 "20161126" 0 89
"171" 1.46872 3.09234 2.06784 19.9716 7.34084 2.78696 "20161127" 0 51
"172" 1.46872 3.09234 2.06784 13.6562 7.34084 7.34084 "20161128" 81587.3 257
"173" 1.46872 3.09234 2.06784 32.6023 12.954 2.78696 "20161129" 81556.3 253
"174" 1.46872 3.09234 2.06784 32.6023 7.34084 7.34084 "20161130" 80699.9 320
"175" 1.46872 7.34084 12.6138 38.9176 18.5671 11.8947 "20161201" 79400.2 541
"176" 13.213 3.09234 7.34084 83.1251 12.954 21.0025 "20161202" 80073.8 784
"177" 1.46872 3.09234 2.06784 26.2869 1.72771 2.78696 "20161203" 0 98
"178" 1.46872 3.09234 2.06784 19.9716 7.34084 7.34084 "20161204" 0 49
"179" 1.46872 3.09234 2.06784 13.6562 7.34084 2.78696 "20161205" 79215.6 306
"180" 1.46872 3.09234 2.06784 19.9716 12.954 2.78696 "20161206" 79400.5 303
"181" 13.213 11.5893 2.06784 45.233 1.72771 2.78696 "20161207" 79632.7 325
"182" 13.213 3.09234 2.06784 32.6023 1.72771 2.78696 "20161208" 79014.3 358
"183" 1.46872 3.09234 2.06784 26.2869 12.954 7.34084 "20161209" 78563.9 241
"184" 1.46872 3.09234 7.34084 13.6562 1.72771 2.78696 "20161210" 0 75
"185" 1.46872 3.09234 2.06784 13.6562 1.72771 16.4486 "20161211" 0 36
"186" 1.46872 3.09234 2.06784 38.9176 12.954 7.34084 "20161212" 77944.3 316
"187" 1.46872 7.34084 2.06784 51.5483 1.72771 2.78696 "20161213" 78263.5 239
"188" 1.46872 11.5893 2.06784 38.9176 7.34084 2.78696 "20161214" 78485.6 314
"189" 1.46872 7.34084 12.6138 26.2869 12.954 7.34084 "20161215" 76441 316
"190" 1.46872 3.09234 2.06784 32.6023 7.34084 7.34084 "20161216" 76792.6 319
"191" 1.46872 3.09234 2.06784 19.9716 1.72771 2.78696 "20161217" 0 111
"192" 1.46872 3.09234 2.06784 32.6023 12.954 7.34084 "20161218" 0 56
"193" 1.46872 3.09234 2.06784 32.6023 7.34084 7.34084 "20161219" 77077.5 261
"194" 1.46872 3.09234 2.06784 19.9716 7.34084 2.78696 "20161220" 76619.6 321
"195" 7.34084 3.09234 2.06784 19.9716 7.34084 2.78696 "20161221" 76915.9 275
"196" 7.34084 3.09234 2.06784 19.9716 1.72771 7.34084 "20161222" 76862.8 291
"197" 1.46872 3.09234 2.06784 19.9716 7.34084 2.78696 "20161223" 76701 214
"198" 1.46872 3.09234 2.06784 13.6562 1.72771 2.78696 "20161224" 0 67
"199" 1.46872 3.09234 2.06784 19.9716 1.72771 2.78696 "20161225" 0 28
"200" 1.46872 3.09234 2.06784 7.34084 1.72771 2.78696 "20161226" 76653.5 293
"201" 1.46872 7.34084 2.06784 32.6023 1.72771 2.78696 "20161227" 76959 307
"202" 1.46872 3.09234 2.06784 38.9176 7.34084 7.34084 "20161228" 77441 365
"203" 7.34084 3.09234 2.06784 38.9176 1.72771 2.78696 "20161229" 77948.7 427
"204" 1.46872 7.34084 7.34084 19.9716 7.34084 2.78696 "20161230" 77810 282
"205" 1.46872 3.09234 7.34084 19.9716 1.72771 2.78696 "20161231" 0 114
"206" 7.34084 3.09234 2.06784 19.9716 1.72771 2.78696 "20170101" 0 39
"207" 1.46872 3.09234 2.06784 13.6562 1.72771 2.78696 "20170102" 78098.8 163
"208" 13.213 7.34084 2.06784 32.6023 12.954 11.8947 "20170103" 78745.7 276
"209" 7.34084 7.34084 7.34084 32.6023 7.34084 2.78696 "20170104" 79203.9 200
"210" 7.34084 3.09234 2.06784 38.9176 12.954 7.34084 "20170105" 79803.8 199
"211" 0 0 0 0 0 0 "20170106" 80028.4 0
"212" 0 0 0 0 0 0 "20170107" 0 0
"213" 0 0 0 0 0 0 "20170108" 0 0
"214" 0 0 0 0 0 0 "20170109" 80327.7 0
"215" 0 0 0 0 0 0 "20170110" 81147.7 0
"216" 0 0 0 0 0 0 "20170111" 80661.1 0
"217" 0 0 0 0 0 0 "20170112" 82010.9 0
"218" 0 0 0 0 0 0 "20170113" 81206.9 0
"219" 0 0 0 0 0 0 "20170114" 0 0
"220" 0 0 0 0 0 0 "20170115" 0 0
"221" 0 0 0 0 0 0 "20170116" 81942.3 0
"222" 0 0 0 0 0 0 "20170117" 82623.3 0
"223" 0 0 0 0 0 0 "20170118" 82712.3 0
"224" 0 0 0 0 0 0 "20170119" 81571.8 0
"225" 0 0 0 0 0 0 "20170120" 81804.3 0
"226" 0 0 0 0 0 0 "20170121" 0 0
"227" 0 0 0 0 0 0 "20170122" 0 0
"228" 0 0 0 0 0 0 "20170123" 82706.7 0
"229" 0 0 0 0 0 0 "20170124" 82887.2 0
"230" 0 0 0 0 0 0 "20170125" 81397.4 0
"231" 0 0 0 0 0 0 "20170126" 81106.6 0
"232" 0 0 0 0 0 0 "20170127" 80669.3 0
"233" 0 0 0 0 0 0 "20170128" 0 0
"234" 0 0 0 0 0 0 "20170129" 0 0
"235" 0 0 0 0 0 0 "20170130" 81038.8 0
"236" 0 0 0 0 0 0 "20170131" 81879.8 0
"237" 0 0 0 0 0 0 "20170201" 81175.4 0
"238" 0 0 0 0 0 0 "20170202" 82150.5 0
"239" 0 0 0 0 0 0 "20170203" 81660.2 0
"240" 0 0 0 0 0 0 "20170204" 0 0
"241" 0 0 0 0 0 0 "20170205" 0 0
"242" 0 0 0 0 0 0 "20170206" 82443.7 0
"243" 0 0 0 0 0 0 "20170207" 82941.1 0
"244" 0 0 0 0 0 0 "20170208" 83307.6 0
"245" 0 0 0 0 0 0 "20170209" 82524.2 0
"246" 0 0 0 0 0 0 "20170210" 82110.6 0
"247" 0 0 0 0 0 0 "20170211" 0 0
"248" 0 0 0 0 0 0 "20170212" 0 0
"249" 0 0 0 0 0 0 "20170213" 81920.1 0
"250" 0 0 0 0 0 0 "20170214" 82255.9 0
"251" 0 0 0 0 0 0 "20170215" 81917.3 0
"252" 0 0 0 0 0 0 "20170216" 83128 0
"253" 0 0 0 0 0 0 "20170217" 83352.2 0
"254" 0 0 0 0 0 0 "20170218" 0 0
"255" 0 0 0 0 0 0 "20170219" 0 0
"256" 0 0 0 0 0 0 "20170220" 82818.7 0
"257" 0 0 0 0 0 0 "20170221" 82587.4 0
"258" 0 0 0 0 0 0 "20170222" 82911.2 0
"259" 0 0 0 0 0 0 "20170223" 83284.8 0
"260" 0 0 0 0 0 0 "20170224" 83530.7 0
"261" 0 0 0 0 0 0 "20170225" 0 0
"262" 0 0 0 0 0 0 "20170226" 0 0
"263" 0 0 0 0 0 0 "20170227" 83937 0
"264" 0 0 0 0 0 0 "20170228" 83805 0
"265" 0 0 0 0 0 0 "20170301" 83013.8 0
"266" 0 0 0 0 0 0 "20170302" 82785.6 0
"267" 0 0 0 0 0 0 "20170303" 81916.7 0
"268" 0 0 0 0 0 0 "20170304" 0 0
"269" 0 0 0 0 0 0 "20170305" 0 0
"270" 0 0 0 0 0 0 "20170306" 82060.1 0
"271" 0 0 0 0 0 0 "20170307" 81065.4 0
"272" 0 0 0 0 0 0 "20170308" 80822.9 0
"273" 0 0 0 0 0 0 "20170309" 80458.8 0
"274" 0 0 0 0 0 0 "20170310" 80071.2 0
"275" 0 0 0 0 0 0 "20170311" 0 0
"276" 0 0 0 0 0 0 "20170312" 0 0
"277" 0 0 0 0 0 0 "20170313" 79686.7 0
"278" 0 0 0 0 0 0 "20170314" 79298.8 0
"279" 0 0 0 0 0 0 "20170315" 78706 0
"280" 0 0 0 0 0 0 "20170316" 80417.9 0
"281" 0 0 0 0 0 0 "20170317" 80483.5 0
"282" 0 0 0 0 0 0 "20170318" 0 0
"283" 0 0 0 0 0 0 "20170319" 0 0
"284" 0 0 0 0 0 0 "20170320" 80568.1 0
"285" 0 0 0 0 0 0 "20170321" 81082.7 0
"286" 0 0 0 0 0 0 "20170322" 81756.6 0
"287" 0 0 0 0 0 0 "20170323" 81655.1 0
"288" 0 0 0 0 0 0 "20170324" 81611.5 0
"289" 0 0 0 0 0 0 "20170325" 0 0
"290" 0 0 0 0 0 0 "20170326" 0 0
"291" 0 0 0 0 0 0 "20170327" 81721.9 0
"292" 0 0 0 0 0 0 "20170328" 81771.5 0
"293" 0 0 0 0 0 0 "20170329" 81165.1 0
"294" 0 0 0 0 0 0 "20170330" 81065.9 0
"295" 0 0 0 0 0 0 "20170331" 80758.4 0
"296" 0 0 0 0 0 0 "20170401" 0 0
"297" 0 0 0 0 0 0 "20170402" 0 0
"298" 0 0 0 0 0 0 "20170403" 81046.3 0
"299" 0 0 0 0 0 0 "20170404" 81791.3 0
"300" 0 0 0 0 0 0 "20170405" 80846.2 0
"301" 0 0 0 0 0 0 "20170406" 80917.8 0
"302" 0 0 0 0 0 0 "20170407" 81453 0
"303" 0 0 0 0 0 0 "20170408" 0 0
"304" 0 0 0 0 0 0 "20170409" 0 0
"305" 0 0 0 0 0 0 "20170410" 80753.2 0
"306" 0 0 0 0 0 0 "20170411" 80987.5 0
"307" 0 0 0 0 0 0 "20170412" 82510.9 0
"308" 0 0 0 0 0 0 "20170413" 82859.8 0
"309" 0 0 0 0 0 0 "20170414" 82759.6 0
"310" 0 0 0 0 0 0 "20170415" 0 0
"311" 0 0 0 0 0 0 "20170416" 0 0
"312" 0 0 0 0 0 0 "20170417" 82834.1 0
"313" 0 0 0 0 0 0 "20170418" 82690.5 0
"314" 0 0 0 0 0 0 "20170419" 82741.7 0
"315" 0 0 0 0 0 0 "20170420" 82867.2 0
"316" 0 0 0 0 0 0 "20170421" 82993.4 0
"317" 0 0 0 0 0 0 "20170422" 0 0
"318" 0 0 0 0 0 0 "20170423" 0 0
"319" 0 0 0 0 0 0 "20170424" 81927.1 0
"320" 0 0 0 0 0 0 "20170425" 81659 0
"321" 0 0 0 0 0 0 "20170426" 80954 0
"322" 0 0 0 0 0 0 "20170427" 81084.4 0
"323" 7.34084 7.34084 2.06784 32.6023 12.954 2.78696 "20170428" 81546.7 165
"324" 1.46872 3.09234 12.6138 51.5483 18.5671 7.34084 "20170429" 0 96
"325" 1.46872 7.34084 2.06784 70.4944 12.954 7.34084 "20170430" 0 90
"326" 7.34084 7.34084 2.06784 51.5483 7.34084 2.78696 "20170501" 81413.7 220
"327" 13.213 7.34084 2.06784 32.6023 1.72771 11.8947 "20170502" 80592.4 224
"328" 13.213 7.34084 2.06784 32.6023 12.954 7.34084 "20170503" 80255.5 225
"329" 7.34084 7.34084 2.06784 26.2869 7.34084 2.78696 "20170504" 78934.1 271
"330" 7.34084 7.34084 2.06784 83.1251 18.5671 7.34084 "20170505" 79012.7 259
"331" 7.34084 7.34084 7.34084 38.9176 12.954 2.78696 "20170506" 0 61
"332" 1.46872 3.09234 2.06784 19.9716 18.5671 2.78696 "20170507" 0 87
"333" 1.46872 11.5893 7.34084 26.2869 18.5671 2.78696 "20170508" 79106.9 235
"334" 7.34084 7.34084 12.6138 45.233 24.1802 11.8947 "20170509" 78933 272
"335" 1.46872 3.09234 7.34084 45.233 1.72771 7.34084 "20170510" 78996.5 209
"336" 1.46872 3.09234 2.06784 45.233 7.34084 2.78696 "20170511" 78868.7 193
"337" 1.46872 3.09234 7.34084 26.2869 7.34084 2.78696 "20170512" 79058.6 211
"338" 1.46872 3.09234 7.34084 19.9716 1.72771 2.78696 "20170513" 0 84
"339" 1.46872 3.09234 2.06784 7.34084 1.72771 2.78696 "20170514" 0 22
"340" 7.34084 3.09234 2.06784 26.2869 7.34084 7.34084 "20170515" 79011.4 261
"341" 1.46872 3.09234 2.06784 19.9716 12.954 7.34084 "20170516" 79075.2 152
"342" 0 0 0 0 0 0 "20170517" 80731.4 0
"343" 0 0 0 0 0 0 "20170518" 81734 0
"344" 0 0 0 0 0 0 "20170519" 80904.2 0
"345" 0 0 0 0 0 0 "20170520" 0 0
"346" 0 0 0 0 0 0 "20170521" 0 0
"347" 0 0 0 0 0 0 "20170522" 81289 0
"348" 0 0 0 0 0 0 "20170523" 81736.6 0
"349" 0 0 0 0 0 0 "20170524" 81171.5 0
"350" 0 0 0 0 0 0 "20170525" 81205.3 0
"351" 0 0 0 0 0 0 "20170526" 81659 0
"352" 0 0 0 0 0 0 "20170527" 0 0
